city,state,population,latitude,longitude,gestation_8_duration,gestation_8_duration_closed,gestation_12_duration,gestation_12_duration_closed,gestation_16_duration,gestation_16_duration_closed,gestation_20_duration,gestation_20_duration_closed,"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2011-2014","% change in the no. of clinics, 2011-2014","% of all U.S. abortions, by state of occurrence, 2014","% of counties without a known clinic, 2014 [2]","% of women aged 15-44 living in a county without a clinic, 2014 [4]","Abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2014","Abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of residence, 2014 [1]","Change in the no. of clinics, 2011-2014","No. of abortions, by state of occurrence, 2014 [3]","No. of abortions, by state of residence, 2014 [5]","No. of clinics, 2014"
Ontario,California,171214,34.063344,-117.650888,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Elk Grove,California,166913,38.408799,-121.371618,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Lancaster,California,161103,34.686785,-118.15416299999998,1,1,1,1,1,1,1,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Corona,California,164226,33.875293,-117.56643799999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Palmdale,California,158351,34.579434,-118.11646100000002,1,1,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Salinas,California,157380,36.677737,-121.655501,0,0,0,1,0,1,1,3,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Hayward,California,158289,37.668821,-122.08079599999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Pomona,California,153266,34.055103,-117.749991,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Escondido,California,151451,33.119207,-117.086421,0,0,0,1,0,1,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Sunnyvale,California,151754,37.368829999999996,-122.03635,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Torrance,California,148475,33.835848999999996,-118.340629,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Orange,California,140992,33.787914,-117.853101,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Pasadena,California,142250,34.147785,-118.14451499999998,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Fullerton,California,140847,33.870365,-117.92421200000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Thousand Oaks,California,129339,34.170561,-118.837594,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Visalia,California,130104,36.330228000000005,-119.29205800000001,1,1,1,1,1,1,1,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Roseville,California,130269,38.752124,-121.28800600000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Simi Valley,California,126788,34.269447,-118.78148200000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Concord,California,128667,37.977978,-122.03107299999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Victorville,California,122225,34.536218,-117.29276399999999,0,1,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Santa Clara,California,126215,37.354108000000004,-121.95523600000001,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Vallejo,California,121253,38.104085999999995,-122.25663700000001,0,0,0,0,0,0,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Berkeley,California,120972,37.871593,-122.272747,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
El Monte,California,116732,34.068621,-118.02756699999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Downey,California,114219,33.940109,-118.133159,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Costa Mesa,California,113204,33.641216,-117.91882199999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Inglewood,California,111666,33.96168,-118.353131,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Carlsbad,California,113453,33.158093,-117.350594,0,0,0,1,0,1,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Fairfield,California,112970,38.249358,-122.03996599999999,0,0,0,1,0,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
San Buenaventura (Ventura),California,109708,34.274646000000004,-119.229032,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
West Covina,California,108484,34.068621,-117.938953,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Richmond,California,109708,37.935758,-122.347749,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Murrieta,California,109830,33.553914,-117.213923,0,1,0,1,0,1,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Antioch,California,110542,38.004921,-121.80578899999999,0,0,0,0,0,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Temecula,California,112011,33.493639,-117.14836499999998,0,0,0,1,0,1,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Norwalk,California,107140,33.902237,-118.08173300000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Daly City,California,106562,37.687924,-122.47020800000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Burbank,California,105319,34.180839,-118.308966,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Santa Maria,California,105093,34.953034,-120.43571899999999,0,1,1,2,1,2,3,4,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
El Cajon,California,103679,32.794773,-116.96252700000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Rialto,California,103132,34.1064,-117.370323,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
San Mateo,California,103536,37.562992,-122.325525,0,0,0,0,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Clovis,California,104180,36.825228,-119.702919,0,0,0,0,0,0,0,3,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Jurupa Valley,California,100314,33.997197,-117.48548000000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Compton,California,98462,33.895849,-118.22007099999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Vista,California,100890,33.200037,-117.24253600000002,0,0,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Mission Viejo,California,97156,33.596891,-117.658156,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
South Gate,California,96401,33.954737,-118.21201599999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Vacaville,California,96803,38.356577,-121.98774399999999,0,0,0,1,0,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Carson,California,93281,33.831674,-118.28169299999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Santa Monica,California,93220,34.019453999999996,-118.49119099999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Hesperia,California,93295,34.426389,-117.300878,0,1,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Westminster,California,92114,33.759176000000004,-117.98970600000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Redding,California,91582,40.58654,-122.391675,0,0,0,2,0,2,5,5,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
