city,state,population,latitude,longitude,gestation_8_duration,gestation_8_duration_closed,gestation_12_duration,gestation_12_duration_closed,gestation_16_duration,gestation_16_duration_closed,gestation_20_duration,gestation_20_duration_closed,"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2011-2014","% change in the no. of clinics, 2011-2014","% of all U.S. abortions, by state of occurrence, 2014","% of counties without a known clinic, 2014 [2]","% of women aged 15-44 living in a county without a clinic, 2014 [4]","Abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2014","Abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of residence, 2014 [1]","Change in the no. of clinics, 2011-2014","No. of abortions, by state of occurrence, 2014 [3]","No. of abortions, by state of residence, 2014 [5]","No. of clinics, 2014"
Porterville,California,56058,36.06523,-119.016768,1,2,1,2,1,2,1,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Brentwood,California,58968,37.931868,-121.69578600000001,0,0,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Paramount,California,55412,33.88946,-118.159791,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Hanford,California,55659,36.32745,-119.645684,1,1,1,1,1,1,1,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Rosemead,California,54908,34.080565,-118.072846,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Highland,California,54854,34.128344,-117.208651,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Novato,California,55530,38.10742,-122.569703,0,1,0,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Colton,California,54621,34.073902000000004,-117.31365500000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Cathedral City,California,53826,33.780539000000005,-116.46680400000001,0,2,0,2,2,2,2,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Yucaipa,California,53328,34.033625,-117.04308700000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Watsonville,California,53628,36.910231,-121.756895,0,0,0,1,1,1,1,3,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Delano,California,52733,35.768842,-119.247054,1,2,1,2,1,2,1,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Placentia,California,52495,33.871072999999996,-117.862755,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Dublin,California,57721,37.702152000000005,-121.93579199999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Gilroy,California,53231,37.005782,-121.568275,0,0,1,1,1,1,1,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Glendora,California,52009,34.136119,-117.86533899999999,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Palm Desert,California,51869,33.722245,-116.37445600000001,0,2,0,2,2,2,2,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Aliso Viejo,California,50195,33.568461,-117.726298,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
West Sacramento,California,52721,38.580461,-121.53023400000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Poway,California,50157,32.962823,-117.03586499999999,0,0,0,1,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Chicago,Illinois,2720546,41.878114000000004,-87.629798,0,0,0,0,0,0,0,0,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Aurora,Illinois,200661,41.760585,-88.320072,0,0,0,0,0,0,1,1,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Rockford,Illinois,148278,42.271131,-89.09399499999999,2,2,2,2,2,2,2,2,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Joliet,Illinois,147861,41.525031,-88.081725,0,1,0,1,0,1,1,1,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Naperville,Illinois,147100,41.750839,-88.15353499999999,0,0,0,0,0,0,1,1,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Springfield,Illinois,116565,39.781721000000005,-89.650148,0,1,0,2,0,2,2,2,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Peoria,Illinois,115070,40.693649,-89.588986,0,2,0,2,2,2,2,4,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Elgin,Illinois,112111,42.035408000000004,-88.282567,1,1,1,1,1,1,1,1,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Waukegan,Illinois,88475,42.363633,-87.844794,1,1,1,1,1,1,1,1,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Cicero,Illinois,83886,41.845588,-87.753945,0,0,0,0,0,0,0,0,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Champaign,Illinois,86096,40.11642,-88.243383,0,0,0,2,0,2,0,4,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Bloomington,Illinois,78292,40.484203,-88.993687,1,1,1,1,1,2,1,4,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Arlington Heights,Illinois,75926,42.088359999999994,-87.980627,0,0,0,0,0,0,0,0,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Evanston,Illinois,75527,42.045072,-87.687697,0,0,0,0,0,0,0,0,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Schaumburg,Illinois,74693,42.033361,-88.08340600000001,0,0,0,0,0,0,0,0,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Decatur,Illinois,73254,39.840315000000004,-88.9548,0,1,1,1,1,1,1,4,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Bolingbrook,Illinois,74306,41.698642,-88.068395,0,0,0,0,0,0,1,1,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Palatine,Illinois,69308,42.110304,-88.03424,0,0,0,0,0,0,0,0,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Skokie,Illinois,64821,42.032403,-87.741625,0,0,0,0,0,0,0,0,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Des Plaines,Illinois,58677,42.033362,-87.883399,0,0,0,0,0,0,0,0,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Orland Park,Illinois,58619,41.630309999999994,-87.853943,0,1,0,1,0,1,1,1,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Tinley Park,Illinois,57143,41.573144,-87.79329399999999,0,0,0,0,0,0,1,1,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Oak Lawn,Illinois,56781,41.719978000000005,-87.74795300000001,0,0,0,0,0,0,1,1,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Berwyn,Illinois,56368,41.850587,-87.79366800000001,0,0,0,0,0,0,0,1,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Mount Prospect,Illinois,54747,42.066417,-87.937291,0,0,0,0,0,0,0,0,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Normal,Illinois,54373,40.514203,-88.99063100000001,1,1,1,2,2,2,2,4,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Wheaton,Illinois,53715,41.86614,-88.107013,0,0,0,0,0,0,1,1,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Hoffman Estates,Illinois,52138,42.062992,-88.12272,0,0,0,0,0,0,0,0,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Oak Park,Illinois,52287,41.885032,-87.784503,0,0,0,0,0,0,0,0,-4,-8,4.6,92,40,16.3,15,-2,"42,270","40,120",24
Houston,Texas,2296224,29.760427000000004,-95.369803,0,0,0,0,0,0,0,4,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
San Antonio,Texas,1469845,29.424121999999997,-98.493628,0,0,0,0,0,0,0,2,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Dallas,Texas,1300092,32.776664000000004,-96.796988,0,0,0,0,0,0,0,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Austin,Texas,931830,30.267153000000004,-97.743061,0,0,0,0,0,0,0,2,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Fort Worth,Texas,833319,32.755488,-97.330766,0,0,0,0,0,1,1,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
El Paso,Texas,681124,31.761878000000003,-106.485022,0,0,0,0,7,7,7,12,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Arlington,Texas,388125,32.735687,-97.10806600000001,0,0,0,0,0,1,1,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Corpus Christi,Texas,324074,27.800583000000003,-97.396381,3,4,3,4,3,4,4,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Plano,Texas,283558,33.019843,-96.698886,0,0,0,0,0,0,0,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Laredo,Texas,255473,27.530566999999998,-99.480324,4,4,4,4,4,4,4,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Lubbock,Texas,249042,33.577863,-101.855166,8,9,8,9,8,9,10,10,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Garland,Texas,236897,32.912624,-96.63888299999999,0,0,0,0,0,0,0,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Irving,Texas,236607,32.814018,-96.948894,0,0,0,0,0,0,0,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Amarillo,Texas,198645,35.221996999999995,-101.83129699999999,7,7,7,8,7,8,7,8,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Grand Prairie,Texas,187809,32.745964,-96.997785,0,0,0,0,0,0,0,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Brownsville,Texas,183887,25.901747,-97.497484,2,7,2,7,2,7,8,10,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Pasadena,Texas,153784,29.691063,-95.209101,0,0,0,0,0,0,0,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
McKinney,Texas,162898,33.197246,-96.639782,0,0,0,0,0,0,0,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Mesquite,Texas,144788,32.766796,-96.599159,0,0,0,0,0,0,0,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Killeen,Texas,140806,31.117119,-97.727796,1,2,1,2,1,2,2,4,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Frisco,Texas,154407,33.150674,-96.823612,1,1,1,1,1,1,1,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
McAllen,Texas,140269,26.203407000000002,-98.230012,0,6,0,6,0,6,7,9,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Waco,Texas,132356,31.549333,-97.14667,0,2,0,2,2,2,3,3,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Carrollton,Texas,133168,32.975642,-96.889964,0,0,0,0,0,0,0,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Midland,Texas,132950,31.997346000000004,-102.077915,8,8,8,8,8,9,9,9,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Denton,Texas,131044,33.214841,-97.13306800000001,1,1,1,1,1,1,1,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Abilene,Texas,121721,32.448736,-99.733144,4,4,4,4,4,5,5,7,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Beaumont,Texas,118129,30.080174,-94.12655600000001,2,2,2,2,2,2,2,7,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Odessa,Texas,118968,31.845682,-102.367643,8,8,8,8,8,9,9,10,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Round Rock,Texas,115997,30.508255,-97.678896,0,0,0,0,0,0,0,3,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Wichita Falls,Texas,104710,33.913708,-98.493387,3,3,3,3,3,4,4,4,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Richardson,Texas,110815,32.948333,-96.72985200000001,0,0,0,0,0,0,0,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Lewisville,Texas,104039,33.046233,-96.994174,0,0,0,0,0,0,0,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Tyler,Texas,103700,32.351259999999996,-95.301062,3,3,3,3,3,3,3,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Pearland,Texas,108821,29.563567,-95.286047,0,0,0,0,0,0,0,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
College Station,Texas,107889,30.627977,-96.334407,2,2,2,2,3,3,3,3,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
San Angelo,Texas,100450,31.463772,-100.437038,6,6,6,6,6,6,6,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Allen,Texas,98143,33.103173999999996,-96.67055,0,0,0,0,0,0,0,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
League City,Texas,98312,29.507454,-95.09493,0,0,0,0,0,0,0,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Sugar Land,Texas,88156,29.619678999999998,-95.634946,0,0,0,0,0,0,0,4,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Longview,Texas,82287,32.500704,-94.740489,2,3,2,3,2,3,3,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Mission,Texas,83298,26.215907,-98.325293,0,7,0,7,0,7,7,9,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Edinburg,Texas,84497,26.301737,-98.16334300000001,0,6,0,6,0,6,7,8,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Bryan,Texas,82118,30.674364,-96.369963,2,3,2,3,3,3,3,3,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Baytown,Texas,76335,29.735505,-94.977427,0,1,0,1,0,1,0,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Pharr,Texas,76538,26.194796,-98.183622,0,6,0,6,0,6,7,9,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Temple,Texas,72277,31.098234,-97.342782,1,1,1,1,1,2,2,4,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Missouri City,Texas,74139,29.618567,-95.537722,0,0,0,0,0,0,0,4,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Flower Mound,Texas,71253,33.014567,-97.09695500000001,1,1,1,1,1,1,1,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
North Richland Hills,Texas,69204,32.834295000000004,-97.228903,0,0,0,0,0,1,1,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Harlingen,Texas,65774,26.190631,-97.69610300000001,1,7,1,7,1,7,7,9,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Victoria,Texas,67574,28.805266999999997,-97.003598,3,3,3,3,3,3,4,4,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
New Braunfels,Texas,70543,29.703002,-98.124453,1,1,1,1,1,1,1,1,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Conroe,Texas,68602,30.311877000000003,-95.456051,0,1,0,1,1,1,1,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Cedar Park,Texas,65945,30.505197999999996,-97.820289,0,0,0,0,0,0,0,3,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Mansfield,Texas,64274,32.563192,-97.141677,0,0,0,0,1,1,1,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Rowlett,Texas,60236,32.902902000000005,-96.56388000000001,0,0,0,0,0,0,0,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Georgetown,Texas,63716,30.633262,-97.677984,0,1,0,1,0,1,1,3,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Port Arthur,Texas,55340,29.88495,-93.939947,2,2,2,2,2,2,2,7,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
San Marcos,Texas,60684,29.883275,-97.94139399999999,0,1,0,1,0,1,1,1,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Pflugerville,Texas,57122,30.454845000000002,-97.622266,0,0,0,0,0,0,0,3,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Euless,Texas,54219,32.837073,-97.08195400000001,0,0,0,0,0,0,0,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
DeSoto,Texas,52486,32.5897,-96.857074,0,1,0,1,1,1,1,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Grapevine,Texas,51404,32.934292,-97.07806500000001,0,0,0,0,0,0,0,5,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Galveston,Texas,50180,29.301347999999997,-94.797696,1,1,1,1,1,1,1,6,-28,-39,6,96,43,9.8,10,-18,"55,230","56,400",28
Philadelphia,Pennsylvania,1567442,39.952584,-75.165222,0,0,0,0,0,0,0,0,-12,0,3.5,85,48,13.3,14,0,"32,030","34,230",20
Pittsburgh,Pennsylvania,304391,40.440625,-79.995886,0,0,0,0,0,0,4,7,-12,0,3.5,85,48,13.3,14,0,"32,030","34,230",20
Allentown,Pennsylvania,120207,40.60843,-75.490183,0,0,0,0,0,0,0,0,-12,0,3.5,85,48,13.3,14,0,"32,030","34,230",20
Erie,Pennsylvania,99475,42.129224,-80.085059,3,3,3,3,3,3,3,8,-12,0,3.5,85,48,13.3,14,0,"32,030","34,230",20
Reading,Pennsylvania,87879,40.335648,-75.926875,0,1,0,1,2,2,2,2,-12,0,3.5,85,48,13.3,14,0,"32,030","34,230",20
Scranton,Pennsylvania,77118,41.408969,-75.662412,2,2,2,2,2,2,2,2,-12,0,3.5,85,48,13.3,14,0,"32,030","34,230",20
Bethlehem,Pennsylvania,74892,40.625932,-75.370458,0,0,0,0,0,0,0,0,-12,0,3.5,85,48,13.3,14,0,"32,030","34,230",20
Lancaster,Pennsylvania,59339,40.037875,-76.305514,1,1,1,1,2,2,2,2,-12,0,3.5,85,48,13.3,14,0,"32,030","34,230",20
Phoenix,Arizona,1563025,33.448377,-112.074037,0,0,0,0,0,0,0,0,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Tucson,Arizona,531641,32.221743,-110.926479,0,3,3,3,3,3,3,3,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Mesa,Arizona,471825,33.415184,-111.83147199999999,0,0,0,0,0,0,0,1,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Chandler,Arizona,260828,33.30616,-111.84125,0,1,0,1,0,1,1,1,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Glendale,Arizona,240126,33.538652,-112.18598700000001,0,0,0,0,0,0,0,1,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Gilbert,Arizona,247542,33.352826,-111.789027,0,1,0,1,0,1,1,1,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Scottsdale,Arizona,236839,33.494170000000004,-111.926052,0,0,0,0,0,0,0,0,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Tempe,Arizona,175826,33.425509999999996,-111.940005,0,0,0,0,0,0,0,0,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Peoria,Arizona,171237,33.580596,-112.237378,0,0,0,0,0,0,0,1,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Surprise,Arizona,128422,33.629234000000004,-112.367928,1,1,1,1,1,1,1,1,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Yuma,Arizona,94139,32.692651,-114.627692,3,5,3,5,3,5,3,5,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Avondale,Arizona,80684,33.435598,-112.349602,0,0,0,0,0,0,0,1,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Goodyear,Arizona,79003,33.435339,-112.357657,0,0,0,0,0,0,0,1,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Flagstaff,Arizona,70320,35.198284,-111.651302,0,4,4,4,4,4,4,4,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Buckeye,Arizona,62138,33.37032,-112.583777,1,1,1,1,1,1,1,1,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Lake Havasu City,Arizona,53553,34.483901,-114.322455,4,4,4,5,4,5,5,5,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Casa Grande,Arizona,51460,32.911003,-111.77338999999999,1,1,1,1,1,1,1,2,-22,-40,1.4,80,19,9.8,10,-6,"12,870","13,240",9
Indianapolis,Indiana,853173,39.768403,-86.158068,0,0,0,0,0,3,0,4,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Fort Wayne,Indiana,260326,41.079273,-85.139351,3,3,3,3,3,4,3,4,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Evansville,Indiana,119943,37.971559,-87.57109,3,3,3,3,3,4,5,5,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
South Bend,Indiana,101516,41.676355,-86.25199,2,2,2,2,2,3,3,3,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Carmel,Indiana,88713,39.978371,-86.118043,0,0,0,0,0,3,0,4,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Fishers,Indiana,88658,39.956755,-86.01335,0,0,0,0,0,3,0,4,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Bloomington,Indiana,84067,39.165325,-86.526386,0,2,0,2,2,3,2,5,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Hammond,Indiana,77614,41.583369,-87.50004100000001,0,0,0,0,0,0,0,1,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Gary,Indiana,77156,41.59337,-87.346427,0,1,0,1,1,1,1,1,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Lafayette,Indiana,71111,40.416702,-86.875287,0,1,1,2,2,3,2,3,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Muncie,Indiana,70087,40.193377000000005,-85.38636,2,2,2,2,2,3,2,3,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Terre Haute,Indiana,60825,39.466703,-87.41390899999999,2,2,2,2,2,3,2,3,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Kokomo,Indiana,57995,40.486427,-86.13360300000001,1,1,1,2,2,5,2,5,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Noblesville,Indiana,59093,40.045592,-86.008595,1,1,1,1,1,4,1,4,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Anderson,Indiana,55305,40.10532,-85.680254,1,1,1,1,1,4,1,4,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Greenwood,Indiana,55586,39.613658,-86.10665300000001,0,0,0,0,0,3,0,4,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Elkhart,Indiana,52348,41.681993,-85.976667,2,3,2,3,2,3,3,3,-14,-10,0.9,95,66,6.3,8,-1,"8,180","10,130",9
Jacksonville,Florida,868031,30.332184,-81.655651,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Miami,Florida,441003,25.76168,-80.19179,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Tampa,Florida,369075,27.950575,-82.457178,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Orlando,Florida,270934,28.538334999999996,-81.379237,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
St. Petersburg,Florida,257083,27.751828000000003,-82.626734,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Hialeah,Florida,237069,25.857596,-80.27810600000001,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Tallahassee,Florida,189907,30.438256,-84.280733,0,4,0,4,4,5,4,5,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Fort Lauderdale,Florida,178590,26.122439,-80.13731700000001,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Port St. Lucie,Florida,179413,27.273049,-80.358226,0,0,0,1,0,1,1,2,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Cape Coral,Florida,175229,26.562853999999998,-81.949533,0,0,0,0,0,0,0,3,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Pembroke Pines,Florida,166611,26.007765,-80.296256,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Hollywood,Florida,149728,26.011201,-80.14949,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Miramar,Florida,137132,25.986076,-80.30356,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Gainesville,Florida,130128,29.651634,-82.324826,0,0,0,0,0,1,0,1,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Coral Springs,Florida,129485,26.271192,-80.270604,0,0,0,1,0,1,0,1,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Miami Gardens,Florida,113187,25.942038,-80.245604,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Clearwater,Florida,113003,27.965853000000003,-82.80010300000001,0,0,0,0,0,1,0,1,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Palm Bay,Florida,107888,28.034461999999998,-80.588665,1,2,1,2,1,2,2,2,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Pompano Beach,Florida,107762,26.237859999999998,-80.124767,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
West Palm Beach,Florida,106779,26.715342,-80.053375,0,0,0,0,0,1,0,1,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Lakeland,Florida,104401,28.039465000000003,-81.949804,0,1,0,1,0,1,0,1,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Davie,Florida,100882,26.076478,-80.252116,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Miami Beach,Florida,92312,25.790654,-80.130045,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Plantation,Florida,92560,26.127585999999997,-80.233104,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Sunrise,Florida,92700,26.166971,-80.25659499999999,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Boca Raton,Florida,93235,26.368306,-80.12893199999999,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
